WK_Nummer;WK_Bezeichnung;Wahlberechtigte_2016;Waehler_2016;UngueltigeStimmen_2016;GueltigeStimmen_2016;CDU_2016;GRUENE_2016;SPD_2016;FDP_2016;LINKE_2016;PIRATEN_2016;REP_2016;NPD_2016;OEDP_2016;PARTEI_2016;BUESO_2016;DKP_2016;ALFA_2016;TIERSCHUTZALLIANZ_2016;AFD_2016;ARMINIUS_2016;BUENDNIS_C_2016;EINHEIT_2016;RECHTE_2016;FWG_2016;MENSCHLICHE_WELT_2016;TIERSCHUTZPARTEI_2016;EINZELBEWERBER2016;Wahlberechtigte_2011;Waehler_2011;UngueltigeStimmen_2011;GueltigeStimmen_2011;CDU_2011;GRUENE_2011;SPD_2011;FDP_2011;LINKE_2011;PIRATEN_2011;REP_2011;NPD_2011;OEDP_2011;PARTEI_2011;BUESO_2011;DKP_2011;ALFA_2011;TIERSCHUTZALLIANZ_2011;AFD_2011;ARMINIUS_2011;BUENDNIS_C_2011;EINHEIT_2011;RECHTE_2011;FWG_2011;MENSCHLICHE_WELT_2011;TIERSCHUTZPARTEI_2011;EINZELBEWERBER2011;SONSTIGE_2011
11;Geislingen;89.293;64.880;787;64.093;18.077;17.793;9.782;4.853;1.183;0;271;378;481;0;0;0;1.028;0;10.247;0;0;0;0;0;0;0;0;90.208;61.845;860;60.985;25.266;13.012;14.779;2.909;1.727;1.188;734;820;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Ludwigsburg;123.843;88.593;708;87.885;20.375;29.444;11.455;7.832;2.509;673;257;293;576;643;0;0;613;0;13.215;0;0;0;0;0;0;0;0;119.732;83.486;906;82.580;29.012;22.209;19.826;4.654;2.491;1.600;1.094;673;469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;552
13;Vaihingen;114.549;86.919;718;86.201;23.289;28.505;9.910;7.777;1.871;0;210;251;567;0;0;0;631;0;12.161;0;0;0;0;0;0;1.029;0;113.542;84.900;931;83.969;32.542;21.415;18.464;5.122;1.884;1.805;837;670;548;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682
14;Bietigheim-Bissingen;124.674;92.835;785;92.050;23.656;29.513;11.934;8.478;2.122;0;420;341;0;957;0;0;853;0;13.776;0;0;0;0;0;0;0;0;123.893;90.242;1.040;89.202;34.075;22.295;21.516;4.659;2.052;1.719;1.543;632;711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Waiblingen;106.092;77.861;562;77.299;20.273;21.494;10.678;8.804;2.074;769;214;252;588;0;0;0;783;0;11.370;0;0;0;0;0;0;0;0;104.915;75.039;794;74.245;27.352;17.438;17.984;5.906;1.881;1.143;732;592;412;0;0;0;0;0;0;0;0;0;0;0;0;0;0;805
16;Schorndorf;96.116;71.859;481;71.378;18.427;19.320;9.001;9.017;1.538;521;176;227;460;0;0;0;924;0;10.997;0;0;0;0;0;0;770;0;95.512;69.194;762;68.432;26.852;15.395;15.293;5.735;1.530;1.085;778;610;418;0;0;0;0;0;0;0;0;0;0;0;0;0;0;736
17;Backnang;93.110;67.235;630;66.605;18.457;14.821;10.472;5.330;1.426;778;211;395;588;0;0;0;1.012;0;13.115;0;0;0;0;0;0;0;0;92.553;62.761;778;61.983;25.319;12.427;14.763;3.373;2.042;1.003;788;896;493;0;0;0;0;0;0;0;0;0;0;0;0;0;107;772
18;Heilbronn;100.841;66.731;778;65.953;14.954;17.872;9.875;6.731;1.928;0;226;367;510;595;0;0;860;0;12.035;0;0;0;0;0;0;0;0;100.619;62.673;876;61.797;22.854;13.259;16.326;3.766;1.893;1.364;885;761;460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;229
19;Eppingen;104.514;75.271;859;74.412;19.763;19.440;9.984;7.149;1.528;0;318;632;887;0;0;0;955;0;13.638;0;0;0;118;0;0;0;0;102.830;69.110;960;68.150;27.880;13.197;16.574;3.795;1.612;1.517;1.054;1.150;841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;530
20;Neckarsulm;112.781;78.925;1.013;77.912;20.085;18.555;13.748;6.299;1.955;0;300;617;732;0;0;0;1.043;0;14.578;0;0;0;0;0;0;0;0;111.244;73.399;1.068;72.331;29.442;13.811;18.722;3.372;1.915;1.552;1.012;1.267;465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;773
21;Hohenlohe;99.192;69.523;866;68.657;19.272;18.619;7.894;6.848;1.675;581;220;567;565;0;0;0;700;0;11.716;0;0;0;0;0;0;0;0;98.952;63.258;986;62.272;25.356;12.284;13.730;4.849;1.910;1.428;746;1.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;869
22;Schw_bisch Hall;124.473;84.528;919;83.609;19.212;22.976;11.722;9.412;1.969;0;314;470;1.117;0;0;0;1.003;0;14.891;0;0;0;0;0;0;0;523;123.788;76.551;1.024;75.527;26.770;16.579;18.938;6.313;2.125;1.449;835;1.012;1.173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333
23;Main-Tauber;102.362;71.910;713;71.197;25.177;15.196;8.154;5.368;1.961;664;251;420;1.115;0;0;0;677;0;12.214;0;0;0;0;0;0;0;0;103.549;68.015;990;67.025;31.952;12.336;13.276;2.948;1.692;1.132;1.153;719;1.009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;808
